#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.05425432287361717,0.0009115949831221687,0.0009074196460544803,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,18.43171100539678,0.3032046470268064,0.3149868022783089,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.005315182232408536,0.00039814238331467664,0.0003884615956142104,derived
Inclination b; $i_\mathrm{b}$ (deg),88.6277952347424,0.43377991473766997,0.6288183660152242,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.4418921951409337,0.20237629869667711,0.13975773278409243,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),1.042245154452236,0.07246851363748608,0.06508049826192264,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),0.8140790710823541,0.10648247462253868,0.0944601952763996,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),18.941695524061,0.9189860946286927,0.9873134948879319,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; tess}$ (ppt),0.01142409117263965,0.0014732734060115549,0.0014355423939383938,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; tess}$ (ppt),0.01142409117263965,0.0014732734060115549,0.0014355423939383938,derived
Limb darkening; $u_\mathrm{1; tess}$,0.49892893010971545,0.3245767059766703,0.47474557345917484,derived
Limb darkening; $u_\mathrm{2; tess}$,0.07496983872927687,0.355636351363401,0.3754118622270928,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),18.941695524061,0.9189860946286927,0.9873134948879319,derived
