#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.1003244376879461,0.007353585127741133,0.007518074112734849,$R_b / R_\star$,
b_rsuma,0.05950247597200842,0.0009015295547216071,0.0008951294631903001,$(R_\star + R_b) / a_b$,
b_cosi,0.02195823865016718,0.010689107985398927,0.007782713319411168,$\cos{i_b}$,
b_epoch,1829.2009215068986,0.0013323623782071081,0.0012516434039753221,$T_{0;b}$,$\mathrm{BJD}$
b_period,2.5007024126467896,0.00031128998104090755,0.00030710187207771966,$P_b$,$\mathrm{d}$
b_f_c,0.0,(fixed),(fixed),$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,0.0,(fixed),(fixed),$\sqrt{e_b} \sin{\omega_b}$,
dil_tess,0.0,(fixed),(fixed),$D_\mathrm{0; tess}$,
host_ldc_q1_tess,0.4559054377667416,0.2860447428238724,0.3161549062841172,$q_{1; \mathrm{tess}}$,
host_ldc_q2_tess,0.42019591315581095,0.26198439844184906,0.316443642908944,$q_{2; \mathrm{tess}}$,
b_sbratio_tess,0.0,(fixed),(fixed),$J_{b; \mathrm{tess}}$,
host_geom_albedo_tess,0.0,(fixed),(fixed),$A_{\mathrm{geom}; host; \mathrm{tess}}$,
host_gdc_tess,0.0,(fixed),(fixed),$Grav. dark._{b; \mathrm{tess}}$,
ln_err_flux_tess,-3.9613331882933114,0.014397007471151468,0.01471996619224214,$\ln{\sigma_\mathrm{tess}}$,$\ln{ \mathrm{rel. flux.} }$
