#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3500.1930	15.4112	4.6784	3495.5145	3515.6042
logg	0.1905	0.2945	0.1663	0.0242	0.4850
[Fe/H]	0.4295	0.0571	0.2496	0.1799	0.4866
dist	63.6255	3.7522	1.7807	61.8448	67.3776
rad	0.2951	0.0167	0.0248	0.2703	0.3119
Av	0.6987	0.1876	0.1755	0.5232	0.8862
grav_mass	0.0000	0.0000	0.0000	0.0000	0.0000
lum	0.0119	0.0014	0.0020	0.0099	0.0133
AD	0.0421	0.0035	0.0034	0.0387	0.0456
age	1.8914	9.1793	1.5672	0.1004	13.443916749413212
iso_mas	0.2651	0.0248	0.0225	0.1994	0.3339747954330763
eep	264.0636	10.7187	38.8090	170.5524	281.0655885517845
H_noise	0.3933	0.2630	0.1512	0.2422	0.6564
J_noise	0.1759	0.1929	0.0964	0.0794	0.3687
Ks_noise	0.3455	0.1654	0.1259	0.2195	0.5109
G_noise	0.0030	0.0042	0.0025	0.0005	0.0071
RP_noise	0.0112	0.0131	0.0061	0.0051	0.0243
BP_noise	0.0603	0.0461	0.0250	0.0354	0.1064
W1_noise	0.3408	0.1710	0.1340	0.2069	0.5119
W2_noise	0.1126	0.2016	0.1039	0.0087	0.3141
NUV_noise	1.0306	2.2365	0.8672	0.1634	3.2670
TESS_noise	0.0802	0.0585	0.0331	0.0471	0.1388
