#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3505.9605	14.8785	10.8208	3495.1398	3520.8391
logg	0.2103	0.2963	0.1919	0.0184	0.5066
[Fe/H]	0.4397	0.0945	0.2888	0.1509	0.5342
dist	63.5607	3.9615	1.8961	61.6646	67.5222
rad	0.2971	0.0159	0.0302	0.2668	0.3130
Av	0.7055	0.2156	0.1848	0.5207	0.9211
grav_mass	0.0000	0.0000	0.0000	0.0000	0.0000
lum	0.0116	0.0018	0.0021	0.0096	0.0134
AD	0.0422	0.0035	0.0041	0.0381	0.0457
age	1.8914	9.1793	1.5672	0.3243	11.0707
iso_mass	0.2651	0.0248	0.0225	0.2426	0.2899
eep	264.0636	10.7187	38.8090	225.2546	274.7822
H_noise	0.3876	0.2786	0.1514	0.2362	0.6663
J_noise	0.1780	0.2046	0.1098	0.0682	0.3827
Ks_noise	0.3486	0.1798	0.1335	0.2151	0.5284
G_noise	0.0031	0.0042	0.0027	0.0003	0.0073
RP_noise	0.0124	0.0130	0.0082	0.0042	0.0254
BP_noise	0.0568	0.0535	0.0246	0.0322	0.1103
W1_noise	0.3324	0.1916	0.1278	0.2047	0.5241
W2_noise	0.1371	0.1848	0.1329	0.0042	0.3219
NUV_noise	1.0958	2.3003	1.0502	0.0457	3.3962
TESS_noise	0.0807	0.0645	0.0358	0.0449	0.1452
