#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6301.5370	267.0081	304.4829	5997.0541	6568.5452
logg	2.5536	1.0391	0.6888	1.8647	3.5926
[Fe/H]	-0.2134	0.2694	0.1734	-0.3868	0.0560
dist	64.3912	1.4851	1.6336	62.7576	65.8763
rad	0.1915	0.0075	0.0090	0.1826	0.1990
Av	4.4126	0.0968	0.2741	4.1385	4.5093
grav_mass	0.0005	0.0009	0.0004	0.0000	0.0014
lum	0.0515	0.0100	0.0106	0.0408	0.0615
AD	0.0276	0.0014	0.0013	0.0262	0.0290
age	2.0168	9.7686	1.7924	0.0900	13.44333374435088
iso_mas	0.2602	0.0181	0.0155	0.2151	0.3026075436842485
eep	265.3864	9.3278	37.3113	170.3145	277.2255684246566
H_noise	0.0830	0.1193	0.0597	0.0233	0.2023
J_noise	0.1017	0.1749	0.0712	0.0305	0.2766
Ks_noise	0.0803	0.0946	0.0601	0.0202	0.1749
G_noise	0.0042	0.0022	0.0017	0.0026	0.0064
RP_noise	0.0113	0.0091	0.0059	0.0054	0.0204
BP_noise	0.0839	0.0362	0.0152	0.0688	0.1202
W1_noise	0.0944	0.1310	0.0527	0.0418	0.2255
W2_noise	0.1556	0.1201	0.1201	0.0355	0.2757
NUV_noise	2.1030	3.1215	1.2249	0.8781	5.2245
TESS_noise	0.0323	0.0267	0.0177	0.0146	0.0590
