#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6329.4349	397.0364	413.2420	5916.1929	6726.4714
logg	2.5750	1.6109	1.1835	1.3915	4.1858
[Fe/H]	-0.1809	0.3587	0.3265	-0.5074	0.1778
dist	64.3823	2.2884	2.5173	61.8650	66.6707
rad	0.1922	0.0104	0.0142	0.1779	0.2026
Av	4.4824	0.1078	0.4111	4.0714	4.5903
grav_mass	0.0006	0.0006	0.0006	0.0000	0.0011
lum	0.0502	0.0165	0.0132	0.0370	0.0667
AD	0.0277	0.0019	0.0022	0.0255	0.0296
age	2.0168	9.7686	1.7924	0.2244	11.7854
iso_mass	0.2602	0.0181	0.0155	0.2447	0.2783
eep	265.3864	9.3278	37.3113	228.0752	274.7142
H_noise	0.0586	0.1607	0.0710	-0.0124	0.2193
J_noise	0.0571	0.2489	0.0615	-0.0044	0.3060
Ks_noise	0.0280	0.1671	0.0418	-0.0137	0.1952
G_noise	0.0032	0.0043	0.0017	0.0015	0.0075
RP_noise	0.0112	0.0132	0.0106	0.0007	0.0244
BP_noise	0.0833	0.0475	0.0244	0.0588	0.1308
W1_noise	0.0538	0.2203	0.0603	-0.0065	0.2741
W2_noise	0.0528	0.2583	0.0596	-0.0068	0.3111
NUV_noise	1.2548	4.8222	1.2182	0.0365	6.0769
TESS_noise	0.0307	0.0375	0.0283	0.0024	0.0682
