# Wavelength[nm]	g'	r'	Asahi i	z_s
1100	0.048955146	0.088178642	0.002693377	0.004727588
1099.5	0.046689961	0.100619808	0.003133603	0.004686341
1099	0.044032376	0.114752099	0.001882095	0.004573563
1098.5	0.041770969	0.126976118	0.002462183	0.00440613
1098	0.039468393	0.135665834	0.002843836	0.004338745
1097.5	0.037087411	0.138498113	0.002140405	0.004207377
1097	0.03522823	0.135285065	0.001457754	0.004012924
1096.5	0.03305725	0.125182599	0.003461717	0.003849602
1096	0.031403236	0.112625442	0.003085488	0.003772228
1095.5	0.029726114	0.097343922	0.003640439	0.003540551
1095	0.028159656	0.082937576	0.002248311	0.003342543
1094.5	0.026890639	0.070871696	0.00357776	0.003344202
1094	0.025730347	0.059917737	0.002890619	0.003091513
1093.5	0.024575658	0.051128365	0.002613449	0.002918665
1093	0.023787227	0.04373119	0.002979658	0.002878385
1092.5	0.022910107	0.037806541	0.004341973	0.002696497
1092	0.022256378	0.03287562	0.003237125	0.002648087
1091.5	0.021574298	0.029072946	0.003271274	0.002436327
1091	0.02117162	0.025777996	0.002833713	0.002391077
1090.5	0.020796528	0.023157187	0.002761657	0.002217616
1090	0.020472104	0.021039266	0.00360604	0.00211835
1089.5	0.020286381	0.019127335	0.004288497	0.002078721
1089	0.0202832	0.017760426	0.003999854	0.001997963
1088.5	0.020195467	0.016502414	0.002889773	0.001927985
1088	0.020216256	0.015341964	0.003372783	0.001812539
1087.5	0.020391112	0.014582962	0.002295405	0.001748351
1087	0.020700596	0.013769935	0.003886745	0.001603283
1086.5	0.02106953	0.013192963	0.003108721	0.001628182
1086	0.021557627	0.012673308	0.00336804	0.001522346
1085.5	0.02214415	0.012414678	0.002279113	0.00162392
1085	0.022796504	0.012025673	0.003181557	0.001588455
1084.5	0.02368569	0.011742562	0.001694893	0.001464756
1084	0.024653774	0.01160812	0.003439391	0.001374936
1083.5	0.025786739	0.011547551	0.003336027	0.001459714
1083	0.027287295	0.011448145	0.003449181	0.001564541
1082.5	0.028598432	0.011386991	0.003463435	0.001323185
1082	0.030406279	0.011544819	0.002649546	0.001413914
1081.5	0.032303102	0.011611207	0.002249253	0.001312924
1081	0.034611341	0.011839692	0.002202089	0.001484613
1080.5	0.036902454	0.012020771	0.002845884	0.001405545
1080	0.039655793	0.012204289	0.002548239	0.001476497
1079.5	0.04248308	0.012572857	0.002368783	0.001502178
1079	0.045597289	0.012656536	0.003011109	0.001365536
1078.5	0.048785731	0.012924028	0.003384427	0.001385811
1078	0.052007928	0.013213743	0.003469615	0.001626208
1077.5	0.055287264	0.013401198	0.003808084	0.001644043
1077	0.057936545	0.013444308	0.004549503	0.001612583
1076.5	0.060517255	0.013640798	0.003987526	0.001681584
1076	0.062384382	0.013494848	0.005268509	0.001597907
1075.5	0.063765004	0.013473809	0.005081757	0.001845954
1075	0.064196602	0.013252819	0.005549226	0.001891201
1074.5	0.064072236	0.012928203	0.005275171	0.002022903
1074	0.06303706	0.01254468	0.005651026	0.0020694
1073.5	0.061723683	0.012085811	0.006366965	0.002168385
1073	0.059602935	0.011473683	0.006664906	0.00213981
1072.5	0.057629369	0.010919734	0.006507951	0.002314073
1072	0.055237703	0.010255725	0.00493108	0.002302485
1071.5	0.052717175	0.009645753	0.003021946	0.002311143
1071	0.050669808	0.009125299	0.003207236	0.002441145
1070.5	0.048313312	0.008471886	0.001818232	0.002422879
1070	0.046461962	0.008006372	0.002038968	0.002437157
1069.5	0.04474552	0.007503143	0.00207952	0.002557061
1069	0.043172888	0.006997209	0.001122212	0.002395423
1068.5	0.041964229	0.006606043	0.001252727	0.002341545
1068	0.041031677	0.006283256	0.000253661	0.002261201
1067.5	0.040367112	0.005977904	0.00066928	0.002124197
1067	0.03994742	0.005788295	0.000970348	0.002147914
1066.5	0.039688371	0.005403178	0.000796989	0.0020122
1066	0.039743546	0.005153853	0.001503301	0.001857374
1065.5	0.040072612	0.005090595	0.00060407	0.001785642
1065	0.040818408	0.004870603	0.000181283	0.001714812
1064.5	0.041732725	0.004731206	0.001046041	0.001556807
1064	0.042946775	0.004627118	-0.000267048	0.001501126
1063.5	0.044754438	0.00452866	0.001042289	0.001331102
1063	0.0466897	0.004439268	0.00015264	0.001240954
1062.5	0.049293064	0.004433834	0.001177256	0.001159005
1062	0.052475888	0.00454723	0.000523955	0.001159993
1061.5	0.055834588	0.004575611	0.000934358	0.001063676
1061	0.060057703	0.004616921	0.000603439	0.001119111
1060.5	0.064254031	0.004696513	0.00063482	0.001002017
1060	0.069361299	0.004908572	-0.000145466	0.001096202
1059.5	0.07431826	0.004941307	-0.00040604	0.000869074
1059	0.079278052	0.005088394	-0.000533408	0.000884449
1058.5	0.083480783	0.005367165	0.000178296	0.000834492
1058	0.086585887	0.005678258	0.000243851	0.000821372
1057.5	0.088213488	0.006026893	9.83E-05	0.000770704
1057	0.08796183	0.006512209	0.00032472	0.000760393
1056.5	0.085001744	0.006990939	0.000976664	0.0008055
1056	0.08070159	0.007521999	0.000771251	0.00065936
1055.5	0.075077228	0.00832522	0.000193879	0.000749753
1055	0.068109252	0.009221604	0.000269313	0.000665351
1054.5	0.061661832	0.010295837	0.000605738	0.000732633
1054	0.054733705	0.011688212	-0.000580048	0.000721149
1053.5	0.048581548	0.01325787	8.64E-05	0.000714967
1053	0.04305632	0.015410711	-0.000484523	0.000704567
1052.5	0.038272429	0.017980579	0.000505476	0.000760457
1052	0.034226425	0.021160876	-0.000278933	0.000828505
1051.5	0.030494586	0.02529393	-0.000459638	0.000778151
1051	0.027665863	0.029731562	0.000441567	0.000833557
1050.5	0.024943385	0.035568625	-0.00051133	0.000737636
1050	0.02272049	0.041586515	-0.000237435	0.000791536
1049.5	0.020869292	0.0474247	0.000331304	0.000681893
1049	0.019350696	0.052635953	1.64E-05	0.000790496
1048.5	0.017978428	0.055632245	-0.000311701	0.000849783
1048	0.016781859	0.056265045	0.000712122	0.0007611
1047.5	0.015985899	0.054701243	0.000122055	0.001002884
1047	0.015089997	0.050743796	-0.00066544	0.000911379
1046.5	0.014320646	0.046285983	0.000194916	0.001018782
1046	0.013899301	0.04160608	0.000438691	0.001055633
1045.5	0.01343712	0.037032455	-0.000725326	0.001062039
1045	0.013125991	0.033255808	0.000557091	0.001127538
1044.5	0.012911153	0.03002676	0.000318983	0.001260367
1044	0.012671391	0.027376972	0.000565886	0.001286241
1043.5	0.012532055	0.025185451	0.000984747	0.001333675
1043	0.012505191	0.023636097	0.000673562	0.001341435
1042.5	0.012530922	0.022397144	0.000519243	0.001376768
1042	0.012517123	0.021415509	0.001543609	0.001362163
1041.5	0.012662947	0.021006044	0.00068263	0.001496995
1041	0.01296636	0.020803174	0.00091483	0.001629024
1040.5	0.01320903	0.020935349	0.000297906	0.001662858
1040	0.013662155	0.02153554	-3.62E-05	0.001753413
1039.5	0.014054713	0.022169858	0.001740988	0.001784302
1039	0.014531201	0.023292745	0.000696445	0.001752173
1038.5	0.015011474	0.025118785	-0.000418643	0.001872923
1038	0.01557711	0.02724579	-0.000226674	0.001864654
1037.5	0.016308254	0.030518929	-0.000278161	0.00185058
1037	0.017063666	0.034684535	-0.000440842	0.001929025
1036.5	0.017736336	0.040120695	0.000224416	0.0019853
1036	0.018529741	0.047762513	-0.000346134	0.001888536
1035.5	0.01934154	0.057580382	-0.000847798	0.001983976
1035	0.020189898	0.070607737	0.001302705	0.002129148
1034.5	0.021024378	0.085968137	0.00013313	0.002025947
1034	0.02191364	0.102317624	0.000751459	0.002076114
1033.5	0.022516765	0.113444366	3.66E-05	0.002033883
1033	0.023206513	0.115492299	0.000310484	0.00205328
1032.5	0.023860367	0.107090093	0.000304959	0.002092049
1032	0.024587283	0.092154518	0.000474123	0.002084665
1031.5	0.024912709	0.073419616	-0.000685781	0.001999551
1031	0.02527643	0.057656232	-5.25E-05	0.001964795
1030.5	0.025800791	0.044677339	-0.000344637	0.001915204
1030	0.026075536	0.035180677	0.000897677	0.001925365
1029.5	0.026459055	0.027984923	-0.000483555	0.001836944
1029	0.026745651	0.022551762	0.000200184	0.001756059
1028.5	0.027221406	0.018896496	0.001813936	0.001812342
1028	0.027849454	0.015893541	-0.000599582	0.001650749
1027.5	0.028399188	0.013534562	-2.70E-05	0.001583201
1027	0.029284205	0.011905008	0.000142425	0.001540611
1026.5	0.030331349	0.010610107	0.00042802	0.001529303
1026	0.031474903	0.009561497	0.001572359	0.001359309
1025.5	0.033085018	0.008658283	-1.18E-05	0.001296409
1025	0.035142757	0.007919916	0.0001369	0.001306977
1024.5	0.037613142	0.007442152	-0.00041643	0.001251451
1024	0.040314354	0.007052514	0.000389859	0.001221091
1023.5	0.043564145	0.006676745	0.000253078	0.001102094
1023	0.047235027	0.00636924	0.000733163	0.001022231
1022.5	0.050818093	0.006075307	0.000137672	0.000994765
