,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.704302553,1.010826,0.004436,1.6907,7443.9,2.907,1.261,6.17,121111.1
1,2459206.707816442,1.016015,0.003597,1.6586,4258.5,2.436,1.5290000000000001,6.21,120829.8
2,2459206.711327332,1.006199,0.003244,1.6281,3128.1,2.417,1.26,6.01,120811.6
3,2459206.714836222,1.005449,0.003047,1.5991,2729.4,2.177,1.337,5.84,121022.2
4,2459206.718354111,1.005336,0.0029530000000000003,1.5716,2585.2,1.798,1.5,5.43,121000.6
5,2459206.721862001,1.002051,0.002938,1.5454,2525.1,1.6669999999999998,1.258,5.59,121081.5
6,2459206.72538189,1.0,0.002918,1.5205,2491.4,1.6269999999999998,1.16,5.81,121052.7
7,2459206.72889478,0.995589,0.002944,1.4969,2463.4,1.382,1.222,6.11,120786.7
8,2459206.73240567,0.991783,0.002914,1.4744,2435.1,1.2930000000000001,1.077,5.81,120619.3
9,2459206.735919559,0.995373,0.0028899999999999998,1.453,2407.2,1.0959999999999999,1.0170000000000001,5.62,121294.7
10,2459206.739428448,0.9912290000000001,0.002873,1.4326,2381.8,0.772,0.767,5.51,121543.4
11,2459206.742943338,0.9910389999999999,0.002876,1.4132,2361.0,0.5479999999999999,0.758,5.61,121432.9
12,2459206.746455227,0.983985,0.0028350000000000003,1.3947,2342.0,0.526,0.526,5.66,121544.8
13,2459206.749965117,0.990417,0.00285,1.3771,2323.8,0.381,0.447,5.28,121789.1
14,2459206.753481007,0.9906379999999999,0.0028179999999999998,1.3604,2303.6,0.449,-0.025,5.31,121859.6
15,2459206.756993897,0.9898950000000001,0.002799,1.3445,2282.1,0.22,0.21,5.71,121810.7
16,2459206.760506786,0.9919209999999999,0.002778,1.3294,2260.4,0.0,0.259,5.49,122007.7
17,2459206.764018676,0.99382,0.002811,1.315,2240.5,-0.045,0.0,5.72,121826.3
18,2459206.767527565,1.001959,0.002786,1.3013,2223.0,-0.021,0.10300000000000001,5.49,122034.3
19,2459206.771036455,1.002275,0.002754,1.2884,2209.5,0.043,-0.076,5.32,122041.4
20,2459206.774552345,1.002057,0.002744,1.276,2193.3,-0.066,-0.171,5.3,122125.8
21,2459206.778067235,1.00223,0.002742,1.2643,2181.5,-0.19,-0.387,5.15,122139.4
22,2459206.781579125,0.999166,0.002718,1.2533,2170.6,-0.425,-0.595,5.13,122110.7
23,2459206.785091015,1.004008,0.002682,1.2428,2162.3,-0.302,-0.52,4.88,122282.0
24,2459206.788599905,1.001676,0.0027129999999999997,1.2329,2153.1,-0.62,-0.772,4.96,122298.9
25,2459206.792115794,1.0005,0.002735,1.2236,2145.6,-0.591,-0.8009999999999999,5.08,122137.6
26,2459206.795629684,1.0048270000000001,0.002712,1.2147,2138.0,-0.425,-1.1179999999999999,4.9,121313.8
27,2459206.799142574,1.000499,0.002745,1.2065,2125.1,-0.821,-1.075,5.26,121488.5
28,2459206.802653464,1.0029270000000001,0.002708,1.1987,2115.2,-0.856,-1.183,4.99,121521.6
29,2459206.806168354,0.996244,0.0027129999999999997,1.1914,2108.0,-0.9520000000000001,-1.1909999999999998,5.28,121492.5
30,2459206.809679244,0.9990190000000001,0.002695,1.1846,2101.9,-0.747,-1.5759999999999998,5.05,121542.3
31,2459206.813191134,0.9992629999999999,0.002742,1.1783,2098.1,-0.9229999999999999,-1.594,5.39,121563.1
32,2459206.816702025,0.9966729999999999,0.002724,1.1724,2094.7,-1.073,-1.689,5.39,121701.8
33,2459206.820220914,1.0002209999999998,0.002727,1.1669,2089.3,-0.987,-2.101,5.49,121669.4
34,2459206.823733805,0.993978,0.0027170000000000002,1.1619,2084.6,-1.548,-2.0780000000000003,5.21,121708.9
35,2459206.827247695,0.993715,0.002729,1.1574,2081.7,-1.197,-2.64,5.53,121768.0
