,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.703257586,1.002791,0.001603,1.7003,3427.8,1.655,0.833,5.07,113249.7
1,2459206.704707541,1.001785,0.0014810000000000001,1.6866,2447.8,1.062,0.8420000000000001,4.89,113645.9
2,2459206.706146495,1.003495,0.001408,1.6733,1849.7,1.422,1.0659999999999998,4.96,113466.5
3,2459206.70759645,1.002617,0.001368,1.6602,1459.0,1.042,1.026,4.99,113620.6
4,2459206.709058404,1.001164,0.0013289999999999999,1.6473,1218.0,1.614,1.043,5.11,112840.6
5,2459206.710509358,1.001033,0.001312,1.6348,1063.3,0.745,1.217,5.05,113356.1
6,2459206.711959312,0.999172,0.0012929999999999999,1.6225,965.5,1.426,0.813,5.26,112714.5
7,2459206.713409266,1.0009700000000001,0.00128,1.6105,906.5,0.835,1.295,4.82,113571.4
8,2459206.714848221,1.002338,0.001273,1.5988,864.4,0.987,1.2009999999999998,4.75,113777.3
9,2459206.716298176,1.004429,0.001273,1.5873,837.4,0.772,1.061,4.67,113673.6
10,2459206.71774913,1.002084,0.00126,1.576,811.3,0.542,1.0759999999999998,4.58,113528.7
11,2459206.719199085,1.0007700000000002,0.00126,1.565,797.0,0.757,1.245,4.57,113659.4
12,2459206.72063804,1.001218,0.001256,1.5542,787.1,0.196,1.109,4.46,113548.3
13,2459206.722087994,1.000697,0.001256,1.5436,787.6,0.815,1.357,4.54,113608.4
14,2459206.723538948,1.001117,0.0012519999999999999,1.5332,783.7,0.06,1.348,4.61,113565.7
15,2459206.724988902,1.0003520000000001,0.001253,1.5231,780.0,0.843,1.072,4.51,113661.1
16,2459206.726438857,1.0008489999999999,0.0012519999999999999,1.5131,775.5,0.49,1.168,4.9,113506.2
17,2459206.727876812,0.999345,0.001256,1.5034,773.6,0.6970000000000001,0.96,5.06,113526.7
18,2459206.729336766,0.997344,0.001248,1.4938,766.3,0.669,0.9470000000000001,4.63,113600.5
19,2459206.730785721,0.995484,0.001247,1.4844,757.9,0.27399999999999997,0.8,5.23,113449.4
20,2459206.732235675,0.9901270000000001,0.0012439999999999999,1.4752,758.3,0.635,0.9790000000000001,4.7,113533.4
21,2459206.733684629,0.992408,0.00125,1.4663,755.9,-0.191,0.98,4.92,113308.8
22,2459206.735132583,0.991023,0.001239,1.4575,755.7,0.605,0.831,4.72,113524.8
