,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.704100559,0.9946020000000001,0.0018620000000000002,1.6925,6703.3,1.77,0.502,4.59,116510.1
1,2459206.707207462,0.99475,0.00159,1.6639,3915.8,1.706,0.875,4.6,116313.6
2,2459206.710365362,0.9940610000000001,0.001471,1.6362,2852.9,1.443,0.985,4.73,116194.9
3,2459206.713476265,1.000944,0.0014210000000000002,1.6101,2443.8,1.2329999999999999,0.9209999999999999,4.25,122179.7
4,2459206.716587167,1.005709,0.0014039999999999999,1.5852,2271.2,1.149,0.907,4.33,122875.8
5,2459206.719692069,1.008826,0.001389,1.5614,2190.9,0.83,0.857,4.28,122877.5
6,2459206.722807971,1.007975,0.001382,1.5386,2154.3,0.7040000000000001,0.879,4.2,122876.9
7,2459206.725915873,1.004046,0.00137,1.5168,2132.2,0.5579999999999999,0.833,4.41,122877.8
8,2459206.729023776,0.993498,0.001372,1.496,2111.8,0.847,0.8370000000000001,4.45,122059.6
9,2459206.732136678,0.988658,0.001362,1.476,2093.7,0.648,0.385,4.68,122060.2
10,2459206.73524658,0.9890690000000001,0.001364,1.4569,2078.9,0.551,0.496,4.15,122576.4
11,2459206.738357482,0.9969399999999999,0.001363,1.4387,2063.1,0.319,0.89,4.13,122820.6
12,2459206.741468384,0.9871719999999999,0.001354,1.4212,2044.9,0.366,0.909,4.22,122575.5
13,2459206.744577287,0.990065,0.001359,1.4044,2024.4,0.12,0.34700000000000003,4.19,122574.8
14,2459206.747686189,0.991417,0.001351,1.3884,2013.0,-0.057,0.278,4.3,122574.3
15,2459206.750798091,0.987985,0.001344,1.3731,1989.4,0.09,0.22399999999999998,4.32,122572.1
16,2459206.753909993,1.0,0.00135,1.3584,1965.1,-0.013999999999999999,0.115,4.39,122571.3
17,2459206.757018896,0.9960899999999999,0.001341,1.3444,1944.9,0.0,0.073,4.34,122572.7
18,2459206.760127798,0.9986430000000001,0.00134,1.3309,1922.0,0.06,0.092,4.39,122573.9
19,2459206.763236701,0.995927,0.0013310000000000002,1.3181,1907.8,0.11,0.013999999999999999,4.25,122353.8
20,2459206.766343603,0.998908,0.001332,1.3058,1897.0,0.016,-0.075,4.36,122350.9
21,2459206.769457505,1.01076,0.0013369999999999999,1.2941,1879.9,-0.047,0.0,4.13,122571.4
22,2459206.772562408,1.015159,0.001333,1.2829,1860.3,-0.36200000000000004,-0.11900000000000001,4.13,122571.0
23,2459206.77567431,1.0115129999999999,0.001324,1.2722,1844.8,-0.264,-0.107,4.14,122572.3
24,2459206.778786213,1.008807,0.001326,1.262,1825.3,0.146,-0.622,4.24,122349.7
25,2459206.781896115,1.009236,0.001323,1.2523,1816.0,-0.08,-0.7879999999999999,4.4,123087.3
26,2459206.785005018,1.019096,0.001326,1.243,1800.7,-0.077,-0.675,4.47,123087.3
27,2459206.78811192,1.0187389999999998,0.0013289999999999999,1.2342,1784.2,-0.218,-0.6890000000000001,4.37,123087.0
28,2459206.791226822,1.008519,0.0013160000000000001,1.2259,1775.7,0.024,-0.919,4.42,122674.6
29,2459206.794331725,1.005575,0.001318,1.2179,1769.6,-0.273,-0.915,4.44,123085.9
30,2459206.797441627,1.011935,0.0013189999999999999,1.2104,1760.5,-0.39899999999999997,-0.835,4.36,123085.5
31,2459206.80055253,1.001049,0.001315,1.2033,1747.3,-0.289,-1.095,4.25,122672.7
32,2459206.803661433,1.009763,0.0013130000000000001,1.1965,1735.9,-0.579,-1.558,4.29,123084.2
33,2459206.806776335,1.007668,0.0013130000000000001,1.1902,1729.9,-0.5710000000000001,-1.545,4.33,123083.9
34,2459206.809891237,1.003784,0.0013050000000000002,1.1842,1734.2,-0.08199999999999999,-1.6119999999999999,4.41,122671.2
35,2459206.81300314,0.997898,0.001308,1.1786,1729.8,-0.54,-1.694,4.4,122671.7
36,2459206.816114043,1.003243,0.001309,1.1733,1730.2,-0.387,-2.037,4.5,122671.4
37,2459206.819216946,0.9968229999999999,0.001297,1.1684,1718.4,-0.46,-2.0,4.4,122670.9
38,2459206.822328849,0.9993,0.001301,1.1639,1708.0,-0.698,-2.088,4.37,122670.3
39,2459206.825437751,0.998657,0.001296,1.1597,1710.8,-0.593,-2.153,4.42,122671.3
40,2459206.828549654,0.995091,0.001315,1.1558,1722.1,-0.53,-2.734,4.31,118583.9
