,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.704100559,1.0006,0.001576,1.6925,6700.5,1.77,0.502,4.54,85112.4
1,2459206.707207462,1.0,0.001428,1.6639,3910.8,1.706,0.875,4.48,83700.0
2,2459206.710365362,0.999516,0.001372,1.6362,2847.5,1.443,0.985,4.82,76212.5
3,2459206.713476265,1.0039719999999999,0.001323,1.6101,2438.4,1.2329999999999999,0.9209999999999999,3.92,103282.5
4,2459206.716587167,1.001414,0.0012980000000000001,1.5852,2265.8,1.149,0.907,3.67,117290.7
5,2459206.719692069,1.0002280000000001,0.00128,1.5614,2185.4,0.83,0.857,3.53,117330.0
6,2459206.722807971,0.9994709999999999,0.001277,1.5386,2148.5,0.7040000000000001,0.879,3.49,117273.6
7,2459206.725915873,1.0010350000000001,0.001281,1.5168,2126.4,0.5579999999999999,0.833,3.83,117094.9
8,2459206.729023776,0.9981760000000001,0.001299,1.496,2106.1,0.847,0.8370000000000001,4.17,96495.2
9,2459206.732136678,0.9934860000000001,0.001291,1.476,2088.0,0.648,0.385,4.33,92166.2
10,2459206.73524658,0.988201,0.001283,1.4569,2073.2,0.551,0.496,3.95,106507.3
11,2459206.738357482,0.9895430000000001,0.0012640000000000001,1.4387,2057.4,0.319,0.89,3.54,117865.0
12,2459206.741468384,0.987642,0.00128,1.4212,2039.3,0.366,0.909,3.9,99449.8
13,2459206.744577287,0.98898,0.001277,1.4044,2018.9,0.12,0.34700000000000003,3.74,107682.2
14,2459206.747686189,0.988022,0.001268,1.3884,2006.6,-0.057,0.278,3.83,112114.6
15,2459206.750798091,0.9888399999999999,0.0012720000000000001,1.3731,1983.0,0.09,0.22399999999999998,3.89,110056.7
16,2459206.753909993,0.990927,0.001259,1.3584,1959.5,-0.013999999999999999,0.115,3.62,119022.3
17,2459206.757018896,0.9902059999999999,0.001258,1.3444,1939.3,0.0,0.073,3.72,118707.7
18,2459206.760127798,0.987778,0.001245,1.3309,1915.9,0.06,0.092,3.5,119000.1
19,2459206.763236701,0.994569,0.001265,1.3181,1901.6,0.11,0.013999999999999999,3.93,105598.6
20,2459206.766343603,0.9977799999999999,0.001266,1.3058,1890.4,0.016,-0.075,3.69,112627.4
21,2459206.769457505,0.9995209999999999,0.0012519999999999999,1.2941,1873.2,-0.047,0.0,3.38,118907.5
22,2459206.772562408,0.999948,0.001242,1.2829,1853.9,-0.36200000000000004,-0.11900000000000001,3.33,119465.6
23,2459206.77567431,1.00072,0.0012439999999999999,1.2722,1838.6,-0.264,-0.107,3.49,118707.7
24,2459206.778786213,1.0014049999999999,0.0012490000000000001,1.262,1819.2,0.146,-0.622,3.69,115682.3
25,2459206.781896115,1.001292,0.0012439999999999999,1.2523,1809.8,-0.08,-0.7879999999999999,3.75,113749.9
26,2459206.785005018,1.001655,0.001231,1.243,1794.8,-0.077,-0.675,3.69,119883.4
27,2459206.78811192,0.999292,0.0012289999999999998,1.2342,1777.5,-0.218,-0.6890000000000001,3.38,119866.2
28,2459206.791226822,1.002048,0.001247,1.2259,1768.9,0.024,-0.919,3.82,109943.4
29,2459206.794331725,1.0024870000000001,0.0012519999999999999,1.2179,1762.7,-0.273,-0.915,3.9,106140.8
30,2459206.797441627,1.001957,0.001241,1.2104,1753.3,-0.39899999999999997,-0.835,3.58,115948.4
31,2459206.80055253,0.999444,0.001257,1.2033,1740.2,-0.289,-1.095,3.97,102164.6
32,2459206.803661433,1.001318,0.001243,1.1965,1728.8,-0.579,-1.558,3.59,109411.6
33,2459206.806776335,1.001947,0.001245,1.1902,1723.2,-0.5710000000000001,-1.545,3.78,102956.8
34,2459206.809891237,1.0000850000000001,0.001245,1.1842,1726.8,-0.08199999999999999,-1.6119999999999999,4.07,103763.4
35,2459206.81300314,1.0020870000000002,0.001268,1.1786,1721.9,-0.54,-1.694,4.32,87659.6
36,2459206.816114043,1.0006190000000001,0.001251,1.1733,1723.1,-0.387,-2.037,3.89,103849.9
37,2459206.819216946,1.000001,0.001256,1.1684,1710.8,-0.46,-2.0,4.15,92433.2
38,2459206.822328849,0.99972,0.001254,1.1639,1700.3,-0.698,-2.088,4.01,97777.5
39,2459206.825437751,1.002234,0.001255,1.1597,1702.9,-0.593,-2.153,4.0,92743.9
40,2459206.828549654,1.00178,0.001281,1.1558,1714.4,-0.53,-2.734,4.2,79341.6
