,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.703029593,0.998612,0.00205,1.7025,1012.6,1.172,0.807,4.28,27121.0
1,2459206.704012562,1.001844,0.0020050000000000003,1.6931,843.6,0.5539999999999999,0.8490000000000001,4.25,27324.2
2,2459206.705000531,1.0028059999999999,0.001964,1.6839,723.4,1.288,0.76,4.07,33001.0
3,2459206.7059825,0.999605,0.0019399999999999999,1.6748,640.9,0.679,0.8640000000000001,3.77,33238.1
4,2459206.706971469,1.006409,0.0019370000000000001,1.6658,574.5,0.9420000000000001,0.52,4.16,30003.5
5,2459206.707959438,1.002009,0.001918,1.657,522.3,0.493,0.523,4.07,30447.3
6,2459206.708940407,0.9998809999999999,0.001906,1.6483,488.9,0.9740000000000001,1.3319999999999999,4.42,27790.7
7,2459206.709928376,1.000328,0.001893,1.6398,461.6,0.9229999999999999,0.6709999999999999,4.11,31016.1
8,2459206.710917345,0.9984930000000001,0.0018920000000000002,1.6313,440.1,-0.127,0.905,4.34,28900.6
9,2459206.711905314,1.0033239999999999,0.0018850000000000002,1.623,427.3,1.177,1.006,4.81,23783.2
10,2459206.712885283,1.00016,0.001872,1.6148,418.5,0.846,0.8390000000000001,3.68,37627.7
11,2459206.713872252,1.0006629999999999,0.0018579999999999998,1.6067,411.7,0.055,1.12,3.66,40048.0
12,2459206.714860221,0.9989879999999999,0.0018510000000000002,1.5987,404.7,1.084,0.731,3.85,39920.8
13,2459206.71584219,1.002216,0.001854,1.5909,402.1,0.8759999999999999,0.6890000000000001,3.3,45314.7
14,2459206.716845158,0.999474,0.001849,1.583,395.3,0.22899999999999998,0.642,3.47,44217.5
15,2459206.717826128,1.001383,0.0018390000000000001,1.5754,389.5,0.413,0.784,3.39,46973.5
16,2459206.718813097,1.001097,0.0018390000000000001,1.5679,386.8,0.708,0.622,3.36,44156.2
17,2459206.719793066,1.004609,0.001841,1.5605,382.9,0.29,0.879,3.04,51766.2
18,2459206.720780035,1.0014239999999999,0.0018399999999999998,1.5532,381.6,-0.195,0.9209999999999999,3.13,46346.8
19,2459206.721767004,0.9998440000000001,0.001837,1.5459,384.2,0.486,1.073,3.26,48102.0
20,2459206.722752973,0.999066,0.001835,1.5388,385.7,0.601,1.155,3.23,48293.0
21,2459206.723733942,0.998149,0.001831,1.5318,384.1,-0.606,1.091,3.1,51267.4
22,2459206.724720911,1.002682,0.001836,1.5249,381.9,0.659,0.7829999999999999,3.22,45818.4
23,2459206.72570688,1.001227,0.0018390000000000001,1.5181,381.1,0.264,0.757,3.6,42856.3
24,2459206.726693849,1.005911,0.001847,1.5114,380.8,0.037000000000000005,0.998,3.54,40651.1
25,2459206.727672818,0.999927,0.001849,1.5048,380.4,0.256,0.7040000000000001,4.18,29305.5
26,2459206.728659787,0.998266,0.001843,1.4982,377.9,0.483,1.001,3.75,35361.4
27,2459206.729645756,0.996605,0.001836,1.4918,373.1,0.37200000000000005,0.5820000000000001,3.75,38244.0
28,2459206.730631725,0.995036,0.001836,1.4854,369.7,-0.614,1.081,3.98,34233.9
29,2459206.731617694,0.9941959999999999,0.001834,1.4791,369.6,0.581,1.062,3.77,34104.6
30,2459206.732603663,0.990635,0.001832,1.473,370.9,0.159,0.43799999999999994,3.97,34319.5
31,2459206.733588632,0.9919469999999999,0.0018440000000000002,1.4669,370.4,-0.584,1.058,3.91,31909.6
