,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
0,2459206.703029593,0.998252,0.0019039999999999999,1.7025,1018.6,1.172,0.807,4.39,57560.1
1,2459206.704012562,1.002275,0.001866,1.6931,850.1,0.5539999999999999,0.8490000000000001,4.35,57666.8
2,2459206.705000531,1.0021309999999999,0.0018260000000000001,1.6839,730.1,1.288,0.76,3.94,67590.1
3,2459206.7059825,1.000067,0.001807,1.6748,647.8,0.679,0.8640000000000001,3.88,70223.9
4,2459206.706971469,1.005179,0.001801,1.6658,581.3,0.9420000000000001,0.52,4.14,59808.1
5,2459206.707959438,1.000337,0.001784,1.657,529.1,0.493,0.523,4.06,63801.7
6,2459206.708940407,0.9997799999999999,0.0017760000000000002,1.6483,495.2,0.9740000000000001,1.3319999999999999,4.21,55998.2
7,2459206.709928376,1.0004549999999999,0.0017649999999999999,1.6398,468.3,0.9229999999999999,0.6709999999999999,4.06,65523.7
8,2459206.710917345,0.99821,0.0017640000000000002,1.6313,446.9,-0.127,0.905,4.22,58706.4
9,2459206.711905314,1.003354,0.001756,1.623,433.8,1.177,1.006,4.87,47530.2
10,2459206.712885283,0.999239,0.001745,1.6148,425.5,0.846,0.8390000000000001,3.7,76122.6
11,2459206.713872252,0.9992120000000001,0.00173,1.6067,418.4,0.055,1.12,3.68,82723.0
12,2459206.714860221,1.000699,0.00173,1.5987,411.7,1.084,0.731,3.78,78949.7
13,2459206.71584219,1.0031649999999999,0.00173,1.5909,408.8,0.8759999999999999,0.6890000000000001,3.42,87289.0
14,2459206.716845158,1.000574,0.001727,1.583,402.3,0.22899999999999998,0.642,3.46,88858.1
15,2459206.717826128,1.000847,0.001714,1.5754,396.2,0.413,0.784,3.27,92139.3
16,2459206.718813097,1.000652,0.001714,1.5679,393.6,0.708,0.622,3.47,88705.9
17,2459206.719793066,1.005149,0.001718,1.5605,389.6,0.29,0.879,3.0,93980.5
18,2459206.720780035,1.0006329999999999,0.001715,1.5532,388.4,-0.195,0.9209999999999999,3.27,88203.7
19,2459206.721767004,1.0005879999999998,0.001714,1.5459,391.0,0.486,1.073,3.25,93583.0
20,2459206.722752973,0.998576,0.0017100000000000001,1.5388,392.5,0.601,1.155,3.24,93438.7
21,2459206.723733942,0.9988790000000001,0.001709,1.5318,391.0,-0.606,1.091,3.13,93734.5
22,2459206.724720911,1.002103,0.0017100000000000001,1.5249,389.0,0.659,0.7829999999999999,3.34,92401.8
23,2459206.72570688,1.000612,0.001714,1.5181,388.1,0.264,0.757,3.43,87662.6
24,2459206.726693849,1.005435,0.001721,1.5114,387.4,0.037000000000000005,0.998,3.61,82675.8
25,2459206.727672818,1.000574,0.001725,1.5048,387.1,0.256,0.7040000000000001,4.15,58770.1
26,2459206.728659787,0.998765,0.00172,1.4982,384.9,0.483,1.001,3.76,73860.4
27,2459206.729645756,0.9984040000000001,0.001715,1.4918,380.2,0.37200000000000005,0.5820000000000001,3.54,81209.9
28,2459206.730631725,0.9964780000000001,0.001716,1.4854,376.6,-0.614,1.081,3.84,74548.8
29,2459206.731617694,0.994391,0.0017109999999999998,1.4791,376.5,0.581,1.062,3.81,71975.4
30,2459206.732603663,0.9908899999999999,0.0017100000000000001,1.473,378.0,0.159,0.43799999999999994,3.8,73839.9
31,2459206.733588632,0.9935139999999999,0.0017239999999999998,1.4669,377.3,-0.584,1.058,4.0,68173.2
32,2459206.734572601,0.9922719999999999,0.001715,1.4609,376.7,0.185,0.726,3.74,71816.0
33,2459206.73555257,0.9926309999999999,0.0017079999999999999,1.4549,376.8,0.40299999999999997,0.765,3.33,84829.0
34,2459206.73653754,0.992038,0.001702,1.4491,376.5,0.008,1.01,3.4,92550.4
35,2459206.737523508,0.98774,0.001691,1.4433,377.4,-0.28300000000000003,0.669,3.44,88600.6
36,2459206.738508478,0.9922690000000001,0.0016940000000000002,1.4376,380.0,0.147,1.183,2.88,93875.4
37,2459206.739500447,0.9883709999999999,0.001695,1.432,381.9,0.13,0.9279999999999999,3.28,93570.5
38,2459206.740485415,0.991281,0.0016989999999999998,1.4265,382.1,-0.55,0.9390000000000001,3.41,89257.2
39,2459206.741470384,0.989461,0.0017109999999999998,1.421,378.8,0.5529999999999999,0.491,3.52,83008.0
40,2459206.742455353,0.99082,0.001714,1.4157,371.7,0.038,0.773,3.74,71292.5
41,2459206.743441323,0.9876739999999999,0.001703,1.4103,371.2,0.153,0.915,3.75,74562.3
42,2459206.744424291,0.989498,0.0017010000000000003,1.4051,371.6,-0.297,0.6940000000000001,3.66,73290.5
43,2459206.745410261,0.989925,0.001695,1.4,370.5,0.218,0.35200000000000004,3.33,91666.4
44,2459206.746395229,0.9908969999999999,0.001696,1.3948,365.1,0.005,0.7959999999999999,3.36,93226.1
45,2459206.747386198,0.991043,0.0016940000000000002,1.3898,360.0,-0.787,0.912,3.29,92449.8
46,2459206.748369168,0.990315,0.001698,1.3849,356.3,0.35100000000000003,0.4,3.37,87630.2
47,2459206.749360136,0.9900549999999999,0.0016940000000000002,1.38,352.9,0.008,0.542,3.6,76985.0
48,2459206.750352105,0.990397,0.001698,1.3751,349.0,-0.33799999999999997,0.46,3.58,75928.3
49,2459206.751335075,0.992772,0.0016940000000000002,1.3704,348.9,0.07200000000000001,0.374,3.52,80305.9
50,2459206.752318043,0.9907860000000001,0.001685,1.3657,349.6,0.218,0.165,3.49,83150.2
51,2459206.753309012,0.9908870000000001,0.00168,1.3611,341.1,-0.138,-0.013999999999999999,2.92,94217.4
52,2459206.754290981,0.987432,0.0016699999999999998,1.3565,333.8,-0.784,0.39399999999999996,3.13,94388.5
53,2459206.755273951,0.989145,0.0016879999999999998,1.352,334.1,0.32799999999999996,-0.152,3.7,79603.6
54,2459206.756262919,0.9877610000000001,0.00168,1.3476,333.1,-0.247,0.341,3.32,90009.2
55,2459206.757245888,0.9905809999999999,0.0016820000000000001,1.3433,330.9,-0.076,0.247,3.65,80192.5
56,2459206.758228858,0.990705,0.001674,1.339,326.0,-0.38299999999999995,0.374,3.05,94335.7
57,2459206.759218827,0.989242,0.001667,1.3347,324.9,0.33799999999999997,-0.174,2.96,94125.9
58,2459206.760200796,0.9931989999999999,0.001675,1.3305,325.7,0.024,-0.155,3.16,94308.1
59,2459206.761183765,0.993711,0.00168,1.3264,324.8,-0.629,0.841,3.46,91046.8
60,2459206.762173734,0.992566,0.001675,1.3223,326.5,-0.147,-0.243,3.45,86127.4
61,2459206.763154703,0.9914069999999999,0.0016820000000000001,1.3183,330.6,0.552,0.048,3.26,85318.1
62,2459206.764144672,0.9941469999999999,0.001689,1.3144,332.8,0.021,0.067,3.51,80141.1
63,2459206.765125641,0.9935959999999999,0.0016899999999999999,1.3105,333.3,-0.92,0.14800000000000002,3.33,86738.9
64,2459206.76610761,0.9979389999999999,0.001693,1.3066,332.0,0.23600000000000002,-0.141,3.79,82547.0
65,2459206.767097579,0.9980680000000001,0.001686,1.3029,330.0,0.025,0.021,3.52,88228.8
66,2459206.768079548,1.001382,0.001685,1.2991,326.5,-0.21600000000000003,-0.038,3.23,92229.1
67,2459206.769067517,1.002397,0.0016829999999999998,1.2955,324.6,-1.036,0.115,2.98,94388.1
68,2459206.770049486,0.9994069999999999,0.0016769999999999999,1.2918,320.2,0.391,0.005,3.04,92325.2
69,2459206.771030456,0.999613,0.001673,1.2883,317.2,-0.265,-0.10800000000000001,2.98,94417.0
70,2459206.772049424,0.997975,0.001667,1.2846,313.9,-0.011000000000000001,-0.127,2.97,94257.6
71,2459206.773037393,1.002184,0.0016699999999999998,1.2812,310.3,-0.7809999999999999,0.099,3.01,94361.5
72,2459206.774018362,1.000393,0.001663,1.2778,308.7,0.142,-0.14300000000000002,3.09,92499.9
73,2459206.775007331,0.999817,0.001667,1.2744,310.5,0.073,-0.077,3.38,93098.1
74,2459206.7759883,1.0013239999999999,0.0016760000000000002,1.2711,308.6,-0.35,0.19699999999999998,3.4,91453.6
75,2459206.776969269,1.0,0.0016769999999999999,1.2678,302.7,-0.41700000000000004,-0.14800000000000002,3.71,88131.4
76,2459206.777957238,0.9976309999999999,0.001668,1.2646,300.7,0.289,-0.691,3.22,91596.2
77,2459206.778945208,1.000767,0.001668,1.2614,298.8,-0.096,-0.452,3.26,93203.2
78,2459206.779926177,1.001627,0.0016690000000000001,1.2583,297.7,0.028999999999999998,0.085,3.57,87687.0
79,2459206.780913145,1.00308,0.0016649999999999998,1.2552,295.4,-0.513,-0.601,3.17,93400.4
80,2459206.781894115,0.998928,0.001663,1.2522,296.9,0.456,-0.698,3.43,83615.5
81,2459206.782881084,0.9998309999999999,0.001663,1.2492,296.4,-0.10400000000000001,-0.66,3.32,89883.0
82,2459206.783869053,1.002413,0.001663,1.2463,295.2,0.142,-0.40299999999999997,3.54,88599.2
83,2459206.784855022,1.0021,0.0016539999999999999,1.2434,290.8,-0.518,-0.23600000000000002,2.86,94794.6
84,2459206.785833991,0.9998889999999999,0.001655,1.2406,290.5,0.147,-0.65,2.86,93519.4
85,2459206.78682196,1.002312,0.001655,1.2378,286.3,0.037000000000000005,-0.304,2.99,94680.3
86,2459206.787809929,1.0010059999999998,0.001652,1.235,283.3,-0.047,-0.5429999999999999,2.93,93862.9
87,2459206.788789899,1.001279,0.0016539999999999999,1.2323,281.9,-0.6829999999999999,0.0,2.8,94487.0
88,2459206.789775867,0.9995069999999999,0.001667,1.2296,282.6,0.08,-1.032,3.35,91671.0
89,2459206.790762837,1.002436,0.0016690000000000001,1.227,280.4,0.20199999999999999,-0.6779999999999999,3.07,91239.5
90,2459206.791748806,1.0000930000000001,0.0016600000000000002,1.2244,278.7,-0.184,-0.703,3.31,92645.4
91,2459206.792734775,1.000408,0.001667,1.2219,277.9,-0.499,-0.158,3.46,85633.7
92,2459206.793720744,1.003523,0.001666,1.2194,275.8,-0.589,-0.375,3.56,80127.1
93,2459206.794700713,0.9984219999999999,0.0016649999999999998,1.2169,275.3,0.105,-1.093,3.33,89424.0
94,2459206.795685682,1.000481,0.0016600000000000002,1.2145,274.2,-0.19699999999999998,-0.787,3.21,93921.1
95,2459206.796671651,0.999842,0.001656,1.2122,273.4,0.276,-0.6659999999999999,3.04,93491.6
96,2459206.797656621,1.001252,0.001656,1.2098,271.1,-0.816,-0.39899999999999997,3.16,93271.7
97,2459206.79864259,1.002198,0.0016640000000000001,1.2075,269.6,-0.075,-0.917,3.45,91043.2
98,2459206.799627559,1.004398,0.00168,1.2053,269.2,0.07400000000000001,-1.2819999999999998,3.94,74059.2
99,2459206.800612528,1.00281,0.0016690000000000001,1.2031,267.8,-0.259,-0.977,3.46,88616.0
