BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU),sky(ADU)
2459424.227999,1.02374,0.02625,1.9905,0.92,0.35,4.26,10567.000000,2179
2459424.228717,1.02343,0.02608,1.9810,0.28,0.69,4.53,10550.000000,2176
2459424.229434,1.00090,0.02651,1.9716,0.64,0.65,4.50,10664.000000,2172
2459424.230140,1.00019,0.02623,1.9624,0.55,-0.00,5.45,10258.000000,2162
2459424.230858,0.95763,0.02537,1.9532,1.19,-0.41,4.46,11397.000000,2159
2459424.231576,1.03556,0.02528,1.9440,1.53,1.62,5.04,11243.000000,2160
2459424.232282,1.02568,0.02530,1.9351,0.01,0.80,4.89,12066.000000,2149
2459424.232999,1.00213,0.02416,1.9262,1.83,0.86,4.14,12426.000000,2135
2459424.233705,1.02754,0.02364,1.9174,0.50,0.55,4.32,13384.000000,2126
2459424.234424,1.01323,0.02445,1.9086,0.41,0.03,4.74,13410.000000,2124
2459424.235130,0.97451,0.02410,1.9001,0.78,0.57,4.18,12171.000000,2119
2459424.235847,0.98078,0.02414,1.8915,0.88,-0.61,3.80,12873.000000,2115
2459424.236565,0.99330,0.02358,1.8829,0.72,0.12,4.26,14109.000000,2117
2459424.237271,1.02504,0.02412,1.8746,0.50,0.35,4.16,14202.000000,2120
2459424.237989,1.01744,0.02438,1.8662,-0.15,0.74,4.24,13853.000000,2127
2459424.238695,1.05385,0.02406,1.8581,1.02,-0.35,4.13,14382.000000,2130
2459424.239412,1.00910,0.02430,1.8499,1.24,-0.49,4.91,13351.000000,2122
2459424.240130,1.00280,0.02420,1.8418,0.72,-0.38,3.91,14132.000000,2107
2459424.240836,1.00934,0.02383,1.8338,-0.59,-0.46,5.03,13638.000000,2095
2459424.241553,0.98643,0.02359,1.8259,0.26,0.21,4.38,14308.000000,2085
2459424.242259,0.97033,0.02396,1.8181,-0.21,-0.40,4.47,14940.000000,2082
2459424.242977,1.00145,0.02321,1.8103,-0.38,0.39,3.59,14264.000000,2084
2459424.243695,1.00047,0.02350,1.8025,0.47,0.48,3.72,14230.000000,2089
2459424.244401,0.99560,0.02363,1.7950,0.76,-0.45,4.13,14314.000000,2082
2459424.245118,0.97494,0.02353,1.7874,-0.13,0.87,4.05,13405.000000,2073
2459424.245836,1.00885,0.02382,1.7799,0.58,-0.41,4.55,13452.000000,2061
2459424.246553,0.94133,0.02264,1.7724,0.90,-0.33,4.47,13879.000000,2033
2459424.247259,0.96543,0.02247,1.7651,0.95,0.60,3.69,13625.000000,2010
2459424.247977,1.00441,0.02271,1.7578,-0.61,0.07,4.93,12878.000000,2000
2459424.248696,0.98976,0.02301,1.7506,0.65,0.24,4.20,13010.000000,2003
2459424.249402,1.02359,0.02306,1.7435,0.51,-0.71,4.17,13623.000000,1994
2459424.250119,1.04076,0.02232,1.7364,0.46,1.60,4.15,14552.000000,1981
2459424.250825,0.96690,0.02269,1.7295,-0.94,0.20,4.28,13427.000000,1981
