#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2459206.704304	0.999639	0.005508	1.690677
2459206.711328	0.998265	0.003878	1.628061
2459206.714841	0.999853	0.003655	1.599124
2459206.718354	1.000971	0.003558	1.571578
2459206.721867	0.999497	0.003525	1.545440
2459206.725380	0.994449	0.003508	1.520540
2459206.728892	0.989776	0.003502	1.496913
2459206.732404	0.986080	0.003485	1.474378
2459206.735918	0.992198	0.003445	1.452963
2459206.739430	0.988939	0.003416	1.432582
2459206.742942	0.989263	0.003430	1.413175
2459206.746454	0.986518	0.003397	1.394715
2459206.749967	0.989793	0.003399	1.377140
2459206.753480	0.989891	0.003359	1.360410
2459206.756992	0.988425	0.003344	1.344502
2459206.760505	0.989646	0.003325	1.329376
2459206.764017	0.991875	0.003337	1.315001
2459206.767529	1.003259	0.003324	1.301333
2459206.771041	1.003433	0.003295	1.288368
2459206.774554	0.999991	0.003261	1.276039
2459206.778066	1.002297	0.003268	1.264354
2459206.781579	1.002063	0.003261	1.253288
2459206.785092	1.000480	0.003221	1.242808
2459206.788605	1.002644	0.003232	1.232916
2459206.792117	1.002508	0.003247	1.223562
2459206.795630	1.002633	0.003231	1.214749
2459206.799143	1.000278	0.003248	1.206462
2459206.802656	1.003626	0.003230	1.198678
2459206.806168	0.996246	0.003218	1.191389
2459206.809681	0.999955	0.003219	1.184583
2459206.813194	0.996321	0.003239	1.178246
2459206.816706	0.998541	0.003221	1.172366
2459206.820221	1.003744	0.003236	1.166923
2459206.823734	0.997065	0.003218	1.161930
2459206.827246	0.995503	0.003232	1.157368
