#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2459206.703262	1.000371	0.001568	1.700266
2459206.704710	0.998980	0.001438	1.686629
2459206.706157	1.003090	0.001366	1.673291
2459206.707605	1.000561	0.001313	1.660206
2459206.709067	0.999724	0.001274	1.647270
2459206.710514	0.999293	0.001255	1.634766
2459206.711962	0.998659	0.001235	1.622502
2459206.713409	0.999391	0.001222	1.610503
2459206.714858	1.000398	0.001215	1.598775
2459206.716306	1.001619	0.001209	1.587255
2459206.717753	1.000966	0.001202	1.575984
2459206.719201	0.999489	0.001196	1.564979
2459206.720648	0.999300	0.001202	1.554178
2459206.722096	0.999274	0.001196	1.543573
2459206.723543	1.000084	0.001196	1.533210
2459206.724990	0.999130	0.001196	1.523065
2459206.726439	0.999025	0.001196	1.513102
2459206.727887	0.998404	0.001202	1.503389
2459206.729344	0.995849	0.001196	1.493781
2459206.730791	0.993066	0.001196	1.484419
2459206.732242	0.988949	0.001196	1.475250
2459206.733689	0.991341	0.001196	1.466274
2459206.735136	0.990308	0.001196	1.457475
2459206.736584	0.986694	0.001189	1.448849
2459206.738031	0.988276	0.001183	1.440445
2459206.739479	0.988505	0.001189	1.432171
2459206.740927	0.988812	0.001189	1.424062
2459206.742374	0.987629	0.001196	1.416119
2459206.743822	0.987720	0.001189	1.408339
2459206.745269	0.987537	0.001189	1.400714
2459206.746718	0.987995	0.001183	1.393229
2459206.748166	0.988263	0.001183	1.385900
2459206.749614	0.988897	0.001183	1.378738
2459206.751062	0.988459	0.001183	1.371723
2459206.752510	0.989151	0.001183	1.364831
2459206.753996	0.990752	0.001176	1.357916
2459206.755444	0.988328	0.001176	1.351312
2459206.756892	0.987361	0.001176	1.344844
2459206.758339	0.990524	0.001170	1.338507
2459206.759787	0.989465	0.001170	1.332298
2459206.761234	0.991837	0.001170	1.326221
2459206.762682	0.991537	0.001176	1.320272
2459206.764129	0.994719	0.001183	1.314447
2459206.765578	0.995934	0.001183	1.308742
2459206.767025	1.000045	0.001183	1.303155
2459206.768473	0.998202	0.001176	1.297675
2459206.769920	0.999457	0.001176	1.292327
2459206.771367	0.998764	0.001170	1.287089
2459206.772815	1.000064	0.001170	1.281951
2459206.774263	0.998679	0.001163	1.276938
2459206.775710	0.999934	0.001170	1.272033
2459206.777158	1.000045	0.001170	1.267222
2459206.778606	1.000195	0.001170	1.262520
2459206.780054	0.997496	0.001163	1.257923
2459206.781502	1.001286	0.001163	1.253429
2459206.782949	1.002345	0.001163	1.249037
2459206.784397	0.999822	0.001163	1.244744
2459206.785844	1.000058	0.001157	1.240570
2459206.787292	1.000326	0.001157	1.236469
2459206.788740	0.998326	0.001157	1.232457
2459206.790187	0.998653	0.001163	1.228552
2459206.791637	1.001136	0.001163	1.224728
2459206.793089	0.999555	0.001163	1.220989
2459206.794536	0.999659	0.001163	1.217359
2459206.795984	0.998653	0.001157	1.213819
2459206.797434	0.998940	0.001157	1.210351
2459206.798881	0.998914	0.001163	1.206988
2459206.800329	0.998483	0.001163	1.203710
2459206.801776	1.000228	0.001163	1.200510
2459206.803225	0.999365	0.001157	1.197396
2459206.804672	1.000332	0.001157	1.194366
2459206.806120	1.002012	0.001163	1.191418
2459206.807568	1.001842	0.001157	1.188552
2459206.809016	1.001789	0.001163	1.185770
2459206.810464	0.998816	0.001157	1.183061
2459206.811913	1.000032	0.001163	1.180439
2459206.813361	0.999522	0.001163	1.177889
2459206.814809	0.998790	0.001163	1.175416
2459206.816257	1.001162	0.001157	1.173027
2459206.817704	1.002038	0.001163	1.170714
2459206.819155	1.001149	0.001163	1.168471
2459206.820603	1.001535	0.001163	1.166303
2459206.822051	1.000424	0.001157	1.164209
2459206.823498	1.000319	0.001157	1.162192
2459206.824946	0.999842	0.001157	1.160250
2459206.826394	0.999522	0.001163	1.158381
2459206.827845	1.000999	0.001163	1.156583
2459206.829293	0.999992	0.001170	1.154857
2459206.830741	1.000149	0.001170	1.153203
