#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2459206.704102	0.998154	0.001937	1.692506
2459206.707212	0.999181	0.001638	1.663928
2459206.710367	0.998443	0.001508	1.636212
2459206.713476	1.001962	0.001447	1.610128
2459206.716586	1.001182	0.001418	1.585225
2459206.719697	0.998845	0.001402	1.561401
2459206.722806	0.999398	0.001397	1.538607
2459206.725916	1.000918	0.001394	1.516833
2459206.729026	0.996883	0.001396	1.495987
2459206.732135	0.992828	0.001391	1.476029
2459206.735247	0.988293	0.001384	1.456936
2459206.738358	0.989217	0.001375	1.438660
2459206.741468	0.988039	0.001382	1.421173
2459206.744577	0.988646	0.001376	1.404440
2459206.747687	0.986736	0.001370	1.388418
2459206.750796	0.988548	0.001369	1.373093
2459206.753910	0.990215	0.001360	1.358402
2459206.757020	0.988537	0.001357	1.344368
2459206.760129	0.987883	0.001349	1.330944
2459206.763238	0.994676	0.001357	1.318099
2459206.766348	0.996868	0.001357	1.305838
2459206.769458	0.999240	0.001348	1.294111
2459206.772567	0.999874	0.001342	1.282915
2459206.775677	1.000601	0.001339	1.272217
2459206.778787	1.000248	0.001339	1.262017
2459206.781896	1.000875	0.001334	1.252299
2459206.785006	1.002109	0.001328	1.243048
2459206.788117	0.997654	0.001324	1.234237
2459206.791227	1.001671	0.001333	1.225866
2459206.794336	1.000586	0.001332	1.217925
2459206.797446	0.999327	0.001326	1.210391
2459206.800556	0.997988	0.001332	1.203260
2459206.803666	1.001922	0.001328	1.196518
2459206.806775	1.000590	0.001324	1.190162
2459206.809890	1.000385	0.001327	1.184176
2459206.813003	1.000165	0.001334	1.178557
2459206.816113	0.999444	0.001328	1.173304
2459206.819222	0.999359	0.001331	1.168416
2459206.822331	0.999245	0.001327	1.163863
2459206.825441	1.000406	0.001327	1.159650
2459206.828550	1.000228	0.001336	1.155774
