#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2459206.703030	0.997151	0.001967	1.702464
2459206.704016	1.002267	0.001899	1.693109
2459206.705001	1.000068	0.001851	1.683865
2459206.705987	0.998531	0.001817	1.674821
2459206.706973	1.004261	0.001803	1.665843
2459206.707959	0.998333	0.001776	1.657029
2459206.708944	0.997165	0.001762	1.648344
2459206.709929	0.999036	0.001748	1.639755
2459206.710918	0.996325	0.001741	1.631288
2459206.711903	1.000498	0.001741	1.622980
2459206.712888	0.998907	0.001728	1.614793
2459206.713873	0.997117	0.001714	1.606692
2459206.714858	1.000149	0.001714	1.598729
2459206.715843	1.002430	0.001714	1.590902
2459206.716843	0.999029	0.001707	1.583021
2459206.717828	0.997889	0.001701	1.575401
2459206.718813	1.000129	0.001707	1.567862
2459206.719798	1.003400	0.001701	1.560484
2459206.720783	1.000300	0.001701	1.553157
2459206.721768	0.999589	0.001701	1.545938
2459206.722753	0.996441	0.001701	1.538842
2459206.723738	0.998005	0.001701	1.531842
2459206.724723	1.001263	0.001701	1.524919
2459206.725708	0.998251	0.001701	1.518093
2459206.726693	1.004117	0.001707	1.511363
2459206.727676	0.998811	0.001707	1.504774
2459206.728661	0.997220	0.001707	1.498230
2459206.729646	0.997445	0.001701	1.491779
2459206.730631	0.995697	0.001701	1.485419
2459206.731617	0.992849	0.001701	1.479148
2459206.732601	0.989400	0.001694	1.472964
2459206.733587	0.993539	0.001707	1.466870
2459206.734572	0.989646	0.001701	1.460858
2459206.735557	0.991299	0.001694	1.454947
2459206.736542	0.990732	0.001694	1.449119
2459206.737527	0.985897	0.001687	1.443329
2459206.738513	0.990732	0.001694	1.437643
2459206.739499	0.987228	0.001687	1.432014
2459206.740484	0.990042	0.001694	1.426484
2459206.741469	0.987925	0.001694	1.421031
2459206.742455	0.989544	0.001701	1.415652
2459206.743441	0.986778	0.001694	1.410348
2459206.744426	0.988430	0.001694	1.405118
2459206.745411	0.988389	0.001687	1.399956
2459206.746398	0.988970	0.001687	1.394853
2459206.747384	0.990445	0.001687	1.389824
2459206.748369	0.990472	0.001687	1.384882
2459206.749365	0.989065	0.001680	1.379953
2459206.750352	0.991176	0.001687	1.375129
2459206.751337	0.991763	0.001687	1.370392
2459206.752322	0.989161	0.001680	1.365704
2459206.753308	0.989824	0.001673	1.361082
2459206.754293	0.986771	0.001666	1.356542
2459206.755277	0.987331	0.001673	1.352049
2459206.756261	0.988062	0.001673	1.347620
2459206.757247	0.991340	0.001673	1.343267
2459206.758231	0.989639	0.001666	1.338959
2459206.759216	0.988103	0.001660	1.334711
2459206.760201	0.991654	0.001666	1.330538
2459206.761187	0.993259	0.001666	1.326409
2459206.762172	0.990418	0.001666	1.322342
