Nested Sampling Global Log-Evidence           :   -0.115782076692308735E+03  +/-    0.156076464820761263E+00
Nested Importance Sampling Global Log-Evidence:   -0.116346504340222950E+03  +/-    0.334126254702104053E+00

Dim No.       Mean        Sigma
   1    0.208346358173735354E+03    0.135854021396940308E+02
   2    0.865719107585229253E+01    0.272317054431581218E+00
   3    0.215233137440749484E+00    0.113131634150538587E-01
   4    0.654178823086597987E+02    0.502734330597511825E+00
   5    0.421553471934111232E-01    0.366511778570455665E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221409862494385862E+03
   2    0.909005610148544108E+01
   3    0.210361436810270419E+00
   4    0.651013902890145602E+02
   5    0.453632063060546188E-02

MAP Parameters
Dim No.        Parameter
   1    0.221409862494385862E+03
   2    0.909005610148544108E+01
   3    0.210361436810270419E+00
   4    0.651013902890145602E+02
   5    0.453632063060546188E-02
